date,market_name,crop,variety,grade,min_price,max_price,modal_price,arrivals_tonnes
2024-01-13,Tumkur,Mango,Local,FAQ,2771,3387,3079,13.4
2024-01-13,Raichur,Rice,Local,FAQ,3027,3699,3363,10.0
2024-01-14,Hassan,Tomato,Local,FAQ,2002,2448,2225,84.9
2024-01-14,Bellary,Potato,Local,FAQ,747,913,830,97.5
2024-01-14,Mangalore,Potato,Local,FAQ,727,889,808,38.2
2024-01-14,Shimoga,Wheat,Local,FAQ,2084,2548,2316,88.2
2024-01-14,Hubli,Banana,Local,FAQ,1997,2441,2219,44.9
2024-01-14,Bijapur,Mango,Local,FAQ,2182,2668,2425,7.8
2024-01-15,Bellary,Mango,Local,FAQ,2968,3628,3298,14.2
2024-01-15,Dharwad,Chilli,Local,FAQ,9471,11575,10523,32.2
2024-01-16,Bijapur,Rice,Local,FAQ,2825,3453,3139,39.1
2024-01-16,Mysore,Brinjal,Local,FAQ,1087,1329,1208,17.9
2024-01-17,Belgaum,Wheat,Local,FAQ,2794,3416,3105,97.0
2024-01-17,Gulbarga,Banana,Local,FAQ,2346,2868,2607,88.5
2024-01-17,Shimoga,Brinjal,Local,FAQ,1523,1861,1692,61.1
2024-01-18,Belgaum,Wheat,Local,FAQ,2091,2555,2323,37.2
2024-01-18,Tumkur,Brinjal,Local,FAQ,1516,1854,1685,35.1
2024-01-19,Mangalore,Potato,Local,FAQ,994,1214,1104,48.7
2024-01-19,Hubli,Chilli,Local,FAQ,10049,12283,11166,68.7
2024-01-19,Raichur,Wheat,Local,FAQ,2627,3211,2919,9.4
2024-01-20,Gulbarga,Chilli,Local,FAQ,9211,11257,10234,78.9
2024-01-20,Raichur,Tomato,Local,FAQ,1701,2079,1890,77.1
2024-01-20,Mysore,Onion,Local,FAQ,1064,1300,1182,88.4
2024-01-20,Karwar,Tomato,Local,FAQ,1709,2089,1899,48.6
2024-01-21,Hubli,Coconut,Local,FAQ,1765,2157,1961,57.2
2024-01-21,Hassan,Brinjal,Local,FAQ,1481,1811,1646,24.1
2024-01-21,Bellary,Onion,Local,FAQ,1155,1411,1283,88.7
2024-01-21,Bangalore (Yeshwanthpur),Tomato,Local,FAQ,1362,1664,1513,30.3
2024-01-22,Bellary,Coconut,Local,FAQ,1767,2159,1963,88.0
2024-01-23,Raichur,Onion,Local,FAQ,889,1087,988,6.9
2024-01-23,Gulbarga,Mango,Local,FAQ,3019,3689,3354,78.9
2024-01-23,Hassan,Onion,Local,FAQ,1362,1664,1513,45.1
2024-01-23,Mangalore,Banana,Local,FAQ,2366,2892,2629,84.2
2024-01-24,Mangalore,Wheat,Local,FAQ,2571,3143,2857,16.9
2024-01-24,Hubli,Potato,Local,FAQ,911,1113,1012,68.8
2024-01-24,Mangalore,Potato,Local,FAQ,1107,1353,1230,53.4
2024-01-25,Bangalore (Yeshwanthpur),Onion,Local,FAQ,1113,1361,1237,97.5
2024-01-25,Belgaum,Rice,Local,FAQ,3954,4832,4393,64.5
2024-01-25,Raichur,Onion,Local,FAQ,1385,1693,1539,9.9
2024-01-25,Mysore,Mango,Local,FAQ,3691,4511,4101,96.9
2024-01-26,Bijapur,Onion,Local,FAQ,1292,1580,1436,19.6
2024-01-26,Davangere,Brinjal,Local,FAQ,1477,1805,1641,20.5
2024-01-27,Bijapur,Mango,Local,FAQ,2744,3354,3049,93.4
2024-01-27,Hubli,Tomato,Local,FAQ,1414,1728,1571,25.3
2024-01-28,Mysore,Mango,Local,FAQ,3233,3951,3592,23.4
2024-01-28,Gulbarga,Potato,Local,FAQ,1231,1505,1368,44.7
2024-01-29,Tumkur,Mango,Local,FAQ,2960,3618,3289,48.5
2024-01-29,Tumkur,Rice,Local,FAQ,3124,3818,3471,95.7
2024-01-30,Bellary,Tomato,Local,FAQ,1636,2000,1818,33.6
2024-01-30,Bellary,Chilli,Local,FAQ,9261,11319,10290,64.4
2024-01-31,Mangalore,Chilli,Local,FAQ,9526,11644,10585,89.4
2024-02-01,Belgaum,Banana,Local,FAQ,1599,1955,1777,51.8
2024-02-01,Hubli,Rice,Local,FAQ,3189,3897,3543,62.5
2024-02-01,Raichur,Brinjal,Local,FAQ,1464,1790,1627,30.0
2024-02-01,Bellary,Tomato,Local,FAQ,1755,2145,1950,37.7
2024-02-01,Bijapur,Potato,Local,FAQ,1291,1577,1434,22.2
2024-02-02,Mangalore,Onion,Local,FAQ,1519,1857,1688,71.5
2024-02-02,Hassan,Banana,Local,FAQ,1850,2260,2055,71.7
2024-02-02,Mangalore,Chilli,Local,FAQ,8773,10723,9748,71.5
2024-02-02,Dharwad,Potato,Local,FAQ,1099,1343,1221,69.5
2024-02-02,Hubli,Tomato,Local,FAQ,2142,2618,2380,17.2
2024-02-03,Bellary,Brinjal,Local,FAQ,1596,1950,1773,13.9
2024-02-05,Hubli,Coconut,Local,FAQ,1811,2213,2012,98.4
2024-02-05,Bangalore (Yeshwanthpur),Tomato,Local,FAQ,1578,1928,1753,72.6
2024-02-06,Davangere,Coconut,Local,FAQ,1923,2351,2137,13.3
2024-02-06,Dharwad,Coconut,Local,FAQ,1636,2000,1818,65.0
2024-02-07,Hassan,Chilli,Local,FAQ,7366,9002,8184,71.6
2024-02-07,Tumkur,Wheat,Local,FAQ,2497,3051,2774,8.3
2024-02-07,Dharwad,Mango,Local,FAQ,3351,4095,3723,57.5
2024-02-08,Raichur,Tomato,Local,FAQ,1957,2391,2174,43.7
2024-02-08,Raichur,Potato,Local,FAQ,933,1141,1037,84.6
2024-02-09,Belgaum,Wheat,Local,FAQ,3431,4193,3812,6.4
2024-02-09,Mangalore,Rice,Local,FAQ,4251,5195,4723,99.6
2024-02-09,Hubli,Onion,Local,FAQ,1376,1682,1529,13.0
2024-02-09,Hubli,Mango,Local,FAQ,2506,3062,2784,70.2
2024-02-10,Bangalore (Yeshwanthpur),Tomato,Local,FAQ,1590,1944,1767,44.4
2024-02-11,Shimoga,Brinjal,Local,FAQ,1201,1467,1334,9.3
2024-02-12,Bijapur,Rice,Local,FAQ,3912,4782,4347,19.2
2024-02-12,Bellary,Banana,Local,FAQ,1440,1760,1600,52.3
2024-02-12,Hubli,Potato,Local,FAQ,1409,1723,1566,23.8
2024-02-12,Hassan,Banana,Local,FAQ,2376,2904,2640,68.5
2024-02-12,Hassan,Tomato,Local,FAQ,1298,1586,1442,75.1
2024-02-12,Davangere,Onion,Local,FAQ,1142,1396,1269,79.2
2024-02-13,Bijapur,Chilli,Local,FAQ,7566,9248,8407,45.7
2024-02-13,Dharwad,Potato,Local,FAQ,1231,1505,1368,97.2
2024-02-14,Belgaum,Mango,Local,FAQ,3811,4657,4234,47.1
2024-02-14,Dharwad,Brinjal,Local,FAQ,1227,1499,1363,81.0
2024-02-14,Davangere,Chilli,Local,FAQ,9015,11019,10017,92.5
2024-02-14,Bellary,Chilli,Local,FAQ,7923,9683,8803,28.2
2024-02-14,Mangalore,Mango,Local,FAQ,3905,4773,4339,60.9
2024-02-15,Hubli,Mango,Local,FAQ,4308,5266,4787,65.1
2024-02-15,Bangalore (Yeshwanthpur),Potato,Local,FAQ,1162,1420,1291,62.7
2024-02-16,Raichur,Rice,Local,FAQ,3677,4495,4086,76.8
2024-02-17,Tumkur,Coconut,Local,FAQ,1957,2391,2174,84.1
2024-02-17,Gulbarga,Mango,Local,FAQ,3457,4225,3841,17.3
2024-02-17,Hassan,Onion,Local,FAQ,1342,1640,1491,18.6
2024-02-18,Bijapur,Tomato,Local,FAQ,1382,1690,1536,89.5
2024-02-18,Karwar,Rice,Local,FAQ,5065,6191,5628,19.8
2024-02-18,Raichur,Coconut,Local,FAQ,2630,3214,2922,83.8
2024-02-18,Bangalore (Yeshwanthpur),Chilli,Local,FAQ,9543,11663,10603,26.5
2024-02-18,Dharwad,Brinjal,Local,FAQ,1202,1469,1335,53.3
2024-02-19,Mangalore,Onion,Local,FAQ,1718,2100,1909,9.4
2024-02-19,Belgaum,Banana,Local,FAQ,1831,2237,2034,33.7
2024-02-19,Mysore,Potato,Local,FAQ,1356,1658,1507,41.0
2024-02-19,Bangalore (Yeshwanthpur),Onion,Local,FAQ,1585,1937,1761,74.3
2024-02-20,Hassan,Wheat,Local,FAQ,2925,3575,3250,75.8
2024-02-20,Shimoga,Mango,Local,FAQ,2940,3594,3267,86.5
2024-02-20,Mangalore,Onion,Local,FAQ,1169,1429,1299,34.8
2024-02-21,Shimoga,Mango,Local,FAQ,3073,3755,3414,78.2
2024-02-21,Mangalore,Mango,Local,FAQ,4028,4924,4476,21.2
2024-02-21,Mangalore,Banana,Local,FAQ,2444,2987,2715,23.9
2024-02-21,Bijapur,Chilli,Local,FAQ,10058,12293,11175,73.9
2024-02-22,Mangalore,Mango,Local,FAQ,4317,5277,4797,83.1
2024-02-23,Hubli,Brinjal,Local,FAQ,1570,1918,1744,77.6
2024-02-23,Tumkur,Coconut,Local,FAQ,2240,2738,2489,23.6
2024-02-23,Hubli,Mango,Local,FAQ,3257,3981,3619,46.5
2024-02-23,Karwar,Coconut,Local,FAQ,2317,2831,2574,50.2
2024-02-23,Hubli,Tomato,Local,FAQ,1776,2170,1973,63.0
2024-02-24,Dharwad,Potato,Local,FAQ,1119,1367,1243,64.6
2024-02-25,Karwar,Potato,Local,FAQ,1471,1797,1634,23.1
2024-02-25,Raichur,Coconut,Local,FAQ,2058,2516,2287,70.9
2024-02-25,Belgaum,Chilli,Local,FAQ,9532,11650,10591,61.4
2024-02-26,Mysore,Coconut,Local,FAQ,1732,2116,1924,26.3
2024-02-26,Bijapur,Onion,Local,FAQ,1573,1923,1748,77.2
2024-02-26,Shimoga,Banana,Local,FAQ,1582,1934,1758,88.0
2024-02-26,Hubli,Potato,Local,FAQ,920,1124,1022,94.4
2024-02-26,Gulbarga,Brinjal,Local,FAQ,1172,1432,1302,60.3
2024-02-27,Raichur,Banana,Local,FAQ,2074,2536,2305,67.3
2024-02-27,Dharwad,Mango,Local,FAQ,4015,4907,4461,89.5
2024-02-27,Hubli,Tomato,Local,FAQ,2156,2636,2396,24.0
2024-02-27,Raichur,Banana,Local,FAQ,1792,2190,1991,69.8
2024-02-27,Hassan,Tomato,Local,FAQ,1302,1592,1447,91.3
2024-02-27,Bangalore (Yeshwanthpur),Rice,Local,FAQ,3639,4447,4043,47.3
2024-02-27,Tumkur,Onion,Local,FAQ,1414,1728,1571,43.6
2024-02-28,Bangalore (Yeshwanthpur),Coconut,Local,FAQ,1846,2256,2051,39.8
2024-03-01,Shimoga,Brinjal,Local,FAQ,1039,1269,1154,42.4
2024-03-01,Bijapur,Mango,Local,FAQ,3762,4598,4180,92.3
2024-03-01,Hubli,Mango,Local,FAQ,3067,3749,3408,7.0
2024-03-02,Hassan,Wheat,Local,FAQ,3475,4247,3861,48.6
2024-03-02,Bijapur,Wheat,Local,FAQ,3116,3808,3462,92.3
2024-03-04,Belgaum,Wheat,Local,FAQ,3311,4047,3679,39.5
2024-03-04,Gulbarga,Wheat,Local,FAQ,2382,2912,2647,74.2
2024-03-05,Karwar,Mango,Local,FAQ,2962,3620,3291,26.5
2024-03-05,Bangalore (Yeshwanthpur),Rice,Local,FAQ,4435,5421,4928,91.1
2024-03-05,Mangalore,Brinjal,Local,FAQ,1402,1714,1558,86.1
2024-03-05,Bangalore (Yeshwanthpur),Potato,Local,FAQ,853,1043,948,45.5
2024-03-05,Shimoga,Onion,Local,FAQ,1704,2082,1893,9.2
2024-03-06,Hassan,Tomato,Local,FAQ,1938,2368,2153,61.8
2024-03-06,Tumkur,Brinjal,Local,FAQ,1576,1926,1751,39.9
2024-03-06,Bellary,Mango,Local,FAQ,3870,4730,4300,47.3
2024-03-07,Raichur,Onion,Local,FAQ,1493,1825,1659,12.6
2024-03-07,Mysore,Brinjal,Local,FAQ,1156,1412,1284,18.4
2024-03-07,Bijapur,Rice,Local,FAQ,5163,6311,5737,55.4
2024-03-07,Davangere,Tomato,Local,FAQ,2209,2699,2454,85.4
2024-03-07,Davangere,Rice,Local,FAQ,3434,4198,3816,52.0
2024-03-07,Karwar,Mango,Local,FAQ,4419,5401,4910,88.0
2024-03-07,Karwar,Banana,Local,FAQ,2034,2486,2260,61.4
2024-03-08,Karwar,Potato,Local,FAQ,1449,1771,1610,14.2
2024-03-09,Bangalore (Yeshwanthpur),Onion,Local,FAQ,1356,1658,1507,78.3
2024-03-10,Dharwad,Tomato,Local,FAQ,1449,1771,1610,8.9
2024-03-10,Davangere,Mango,Local,FAQ,3930,4804,4367,34.1
2024-03-11,Hubli,Coconut,Local,FAQ,2098,2564,2331,37.7
2024-03-11,Davangere,Brinjal,Local,FAQ,1184,1448,1316,83.1
2024-03-11,Hassan,Coconut,Local,FAQ,1946,2378,2162,27.6
2024-03-11,Bellary,Wheat,Local,FAQ,3533,4319,3926,63.8
2024-03-12,Raichur,Chilli,Local,FAQ,11542,14108,12825,95.1
2024-03-12,Hubli,Onion,Local,FAQ,1554,1900,1727,71.0
2024-03-12,Bangalore (Yeshwanthpur),Brinjal,Local,FAQ,1467,1793,1630,17.7
2024-03-13,Shimoga,Coconut,Local,FAQ,2714,3317,3015,6.7
2024-03-13,Bijapur,Rice,Local,FAQ,3984,4870,4427,12.1
2024-03-14,Karwar,Chilli,Local,FAQ,11811,14435,13123,16.7
2024-03-14,Karwar,Banana,Local,FAQ,2428,2968,2698,64.2
2024-03-14,Karwar,Brinjal,Local,FAQ,1000,1222,1111,92.9
2024-03-14,Bellary,Wheat,Local,FAQ,3362,4110,3736,59.9
2024-03-15,Raichur,Onion,Local,FAQ,1508,1844,1676,8.8
2024-03-15,Hassan,Rice,Local,FAQ,4349,5315,4832,97.0
2024-03-15,Gulbarga,Onion,Local,FAQ,1182,1444,1313,44.8
2024-03-17,Hassan,Brinjal,Local,FAQ,1400,1711,1555,39.3
2024-03-17,Belgaum,Tomato,Local,FAQ,2174,2658,2416,75.8
2024-03-18,Belgaum,Rice,Local,FAQ,4064,4966,4515,65.6
2024-03-18,Bellary,Onion,Local,FAQ,1100,1344,1222,8.7
2024-03-18,Davangere,Potato,Local,FAQ,1433,1751,1592,11.2
2024-03-20,Tumkur,Banana,Local,FAQ,2254,2754,2504,37.7
2024-03-20,Bellary,Mango,Local,FAQ,4085,4993,4539,33.2
2024-03-20,Bangalore (Yeshwanthpur),Brinjal,Local,FAQ,1309,1599,1454,81.0
2024-03-21,Hubli,Tomato,Local,FAQ,2025,2475,2250,64.8
2024-03-21,Dharwad,Brinjal,Local,FAQ,1741,2127,1934,10.1
2024-03-22,Karwar,Mango,Local,FAQ,2864,3500,3182,64.8
2024-03-22,Tumkur,Wheat,Local,FAQ,2198,2686,2442,39.4
2024-03-23,Karwar,Brinjal,Local,FAQ,1204,1472,1338,69.9
2024-03-23,Hubli,Coconut,Local,FAQ,2917,3565,3241,59.3
2024-03-23,Bijapur,Coconut,Local,FAQ,2351,2873,2612,58.4
2024-03-23,Tumkur,Coconut,Local,FAQ,2740,3348,3044,61.1
2024-03-23,Karwar,Coconut,Local,FAQ,2084,2548,2316,96.4
2024-03-23,Mangalore,Tomato,Local,FAQ,1495,1827,1661,59.0
2024-03-24,Mangalore,Potato,Local,FAQ,1386,1694,1540,7.4
2024-03-24,Davangere,Potato,Local,FAQ,1092,1334,1213,21.7
2024-03-24,Hassan,Mango,Local,FAQ,4023,4917,4470,25.9
2024-03-25,Mangalore,Potato,Local,FAQ,1245,1521,1383,14.7
2024-03-25,Tumkur,Tomato,Local,FAQ,1940,2372,2156,18.5
2024-03-25,Mysore,Potato,Local,FAQ,938,1146,1042,28.1
2024-03-26,Davangere,Tomato,Local,FAQ,1667,2037,1852,50.9
2024-03-26,Karwar,Wheat,Local,FAQ,2606,3186,2896,39.2
2024-03-26,Dharwad,Rice,Local,FAQ,3098,3786,3442,39.6
2024-03-26,Bangalore (Yeshwanthpur),Coconut,Local,FAQ,2423,2961,2692,24.7
2024-03-27,Tumkur,Wheat,Local,FAQ,2110,2580,2345,80.1
2024-03-27,Mysore,Banana,Local,FAQ,2728,3334,3031,43.6
2024-03-27,Gulbarga,Potato,Local,FAQ,940,1148,1044,95.7
2024-03-27,Bellary,Wheat,Local,FAQ,2999,3665,3332,45.9
2024-03-28,Gulbarga,Mango,Local,FAQ,4265,5213,4739,11.8
2024-03-28,Hassan,Coconut,Local,FAQ,2834,3464,3149,89.4
2024-03-28,Belgaum,Banana,Local,FAQ,1892,2312,2102,82.9
2024-03-29,Hubli,Mango,Local,FAQ,3396,4150,3773,56.5
2024-03-29,Bangalore (Yeshwanthpur),Banana,Local,FAQ,2136,2610,2373,32.1
2024-03-29,Gulbarga,Wheat,Local,FAQ,3293,4025,3659,26.3
2024-03-29,Davangere,Onion,Local,FAQ,1625,1987,1806,31.6
2024-03-29,Dharwad,Tomato,Local,FAQ,2077,2539,2308,78.9
2024-03-30,Shimoga,Rice,Local,FAQ,3802,4646,4224,71.5
2024-03-30,Shimoga,Onion,Local,FAQ,1733,2119,1926,47.8
2024-03-30,Gulbarga,Chilli,Local,FAQ,10771,13165,11968,6.2
2024-03-31,Dharwad,Chilli,Local,FAQ,9746,11912,10829,98.2
2024-03-31,Mangalore,Banana,Local,FAQ,1953,2387,2170,82.0
2024-03-31,Bijapur,Coconut,Local,FAQ,1766,2158,1962,46.5
2024-03-31,Mysore,Tomato,Local,FAQ,1456,1780,1618,43.3
2024-03-31,Bellary,Chilli,Local,FAQ,11797,14419,13108,52.0
2024-04-02,Hubli,Banana,Local,FAQ,2121,2593,2357,10.3
2024-04-02,Dharwad,Rice,Local,FAQ,3775,4613,4194,13.0
2024-04-02,Mangalore,Rice,Local,FAQ,4220,5158,4689,35.8
2024-04-02,Raichur,Banana,Local,FAQ,2227,2721,2474,39.3
2024-04-06,Mysore,Banana,Local,FAQ,1964,2400,2182,42.0
2024-04-06,Bellary,Coconut,Local,FAQ,1767,2159,1963,97.9
2024-04-06,Mysore,Chilli,Local,FAQ,8305,10151,9228,91.4
2024-04-07,Dharwad,Rice,Local,FAQ,2792,3412,3102,74.9
2024-04-07,Tumkur,Brinjal,Local,FAQ,1169,1429,1299,94.6
2024-04-07,Bellary,Coconut,Local,FAQ,2560,3130,2845,82.2
2024-04-08,Bijapur,Banana,Local,FAQ,2006,2452,2229,37.4
2024-04-08,Davangere,Tomato,Local,FAQ,1786,2184,1985,55.9
2024-04-08,Dharwad,Banana,Local,FAQ,1502,1836,1669,8.7
2024-04-08,Davangere,Potato,Local,FAQ,1116,1364,1240,9.8
2024-04-09,Davangere,Banana,Local,FAQ,1760,2150,1955,66.7
2024-04-10,Mysore,Brinjal,Local,FAQ,1076,1314,1195,27.8
2024-04-11,Davangere,Onion,Local,FAQ,979,1197,1088,32.1
2024-04-11,Raichur,Mango,Local,FAQ,3118,3812,3465,32.4
2024-04-11,Hassan,Coconut,Local,FAQ,2762,3376,3069,57.2
2024-04-13,Tumkur,Chilli,Local,FAQ,11400,13934,12667,27.3
2024-04-13,Mysore,Onion,Local,FAQ,1504,1838,1671,42.2
2024-04-13,Gulbarga,Coconut,Local,FAQ,2143,2619,2381,14.3
2024-04-14,Bangalore (Yeshwanthpur),Onion,Local,FAQ,1356,1658,1507,73.7
2024-04-14,Bangalore (Yeshwanthpur),Tomato,Local,FAQ,1216,1486,1351,89.4
2024-04-14,Hassan,Potato,Local,FAQ,976,1194,1085,96.4
2024-04-14,Karwar,Banana,Local,FAQ,1685,2059,1872,54.3
2024-04-15,Tumkur,Rice,Local,FAQ,2944,3598,3271,5.5
2024-04-15,Bijapur,Rice,Local,FAQ,4082,4988,4535,73.1
2024-04-15,Bangalore (Yeshwanthpur),Brinjal,Local,FAQ,998,1220,1109,75.0
2024-04-16,Belgaum,Chilli,Local,FAQ,9968,12183,11075,98.3
2024-04-16,Gulbarga,Banana,Local,FAQ,2433,2973,2703,53.6
2024-04-16,Gulbarga,Rice,Local,FAQ,3177,3883,3530,7.1
2024-04-16,Hassan,Rice,Local,FAQ,3830,4682,4256,42.6
2024-04-18,Hassan,Rice,Local,FAQ,4612,5636,5124,8.5
2024-04-18,Dharwad,Banana,Local,FAQ,2252,2752,2502,42.4
2024-04-18,Tumkur,Banana,Local,FAQ,2507,3065,2786,10.9
2024-04-18,Karwar,Chilli,Local,FAQ,7403,9049,8226,79.3
2024-04-18,Belgaum,Onion,Local,FAQ,1339,1637,1488,77.9
2024-04-19,Dharwad,Chilli,Local,FAQ,7102,8680,7891,30.0
2024-04-19,Bangalore (Yeshwanthpur),Wheat,Local,FAQ,2696,3295,2995,18.0
2024-04-20,Tumkur,Potato,Local,FAQ,882,1078,980,93.6
2024-04-20,Shimoga,Brinjal,Local,FAQ,1030,1260,1145,19.7
2024-04-20,Belgaum,Rice,Local,FAQ,3122,3816,3469,73.4
2024-04-21,Hubli,Rice,Local,FAQ,4595,5617,5106,61.9
2024-04-22,Bellary,Tomato,Local,FAQ,2160,2640,2400,84.4
2024-04-22,Belgaum,Wheat,Local,FAQ,2106,2574,2340,58.1
2024-04-22,Raichur,Tomato,Local,FAQ,1541,1883,1712,86.6
2024-04-23,Belgaum,Onion,Local,FAQ,1212,1482,1347,9.1
2024-04-23,Tumkur,Mango,Local,FAQ,2456,3002,2729,37.5
2024-04-23,Karwar,Onion,Local,FAQ,1526,1866,1696,72.9
2024-04-24,Shimoga,Tomato,Local,FAQ,1278,1562,1420,47.6
2024-04-24,Davangere,Banana,Local,FAQ,2288,2796,2542,26.9
2024-04-25,Dharwad,Chilli,Local,FAQ,10883,13301,12092,9.2
2024-04-26,Bangalore (Yeshwanthpur),Potato,Local,FAQ,800,978,889,21.3
2024-04-26,Davangere,Coconut,Local,FAQ,2216,2708,2462,89.4
2024-04-26,Bangalore (Yeshwanthpur),Wheat,Local,FAQ,2956,3612,3284,54.0
2024-04-26,Raichur,Brinjal,Local,FAQ,1284,1570,1427,63.6
2024-04-26,Belgaum,Potato,Local,FAQ,805,983,894,51.0
2024-04-27,Gulbarga,Onion,Local,FAQ,1378,1684,1531,95.2
2024-04-28,Karwar,Chilli,Local,FAQ,7294,8914,8104,31.5
2024-04-28,Gulbarga,Tomato,Local,FAQ,1517,1855,1686,29.1
2024-04-29,Bijapur,Mango,Local,FAQ,3282,4012,3647,66.1
2024-04-29,Hassan,Onion,Local,FAQ,1061,1297,1179,29.8
2024-04-29,Tumkur,Onion,Local,FAQ,1533,1873,1703,5.8
2024-04-29,Gulbarga,Mango,Local,FAQ,3602,4402,4002,45.8
2024-04-29,Mysore,Wheat,Local,FAQ,2233,2729,2481,14.4
2024-04-29,Mangalore,Potato,Local,FAQ,1468,1794,1631,81.6
2024-04-30,Karwar,Banana,Local,FAQ,1814,2216,2015,94.0
2024-04-30,Mangalore,Onion,Local,FAQ,1208,1476,1342,94.8
2024-04-30,Hubli,Tomato,Local,FAQ,1927,2355,2141,97.5
2024-05-01,Mangalore,Rice,Local,FAQ,4317,5277,4797,78.9
2024-05-02,Bijapur,Coconut,Local,FAQ,2164,2644,2404,40.6
2024-05-02,Raichur,Potato,Local,FAQ,738,902,820,5.8
2024-05-02,Bangalore (Yeshwanthpur),Mango,Local,FAQ,3883,4745,4314,75.9
2024-05-02,Dharwad,Coconut,Local,FAQ,1789,2187,1988,22.1
2024-05-03,Karwar,Tomato,Local,FAQ,1602,1958,1780,31.2
2024-05-03,Mangalore,Brinjal,Local,FAQ,1571,1921,1746,92.8
2024-05-03,Gulbarga,Tomato,Local,FAQ,1524,1862,1693,71.7
2024-05-03,Gulbarga,Potato,Local,FAQ,1172,1432,1302,32.3
2024-05-06,Shimoga,Coconut,Local,FAQ,1978,2418,2198,88.3
2024-05-06,Mangalore,Rice,Local,FAQ,3215,3929,3572,20.7
2024-05-07,Mysore,Banana,Local,FAQ,1334,1630,1482,77.5
2024-05-07,Mangalore,Banana,Local,FAQ,1788,2186,1987,29.4
2024-05-07,Mysore,Tomato,Local,FAQ,1360,1662,1511,86.3
2024-05-07,Dharwad,Potato,Local,FAQ,907,1109,1008,64.6
2024-05-07,Karwar,Mango,Local,FAQ,3335,4077,3706,93.0
2024-05-08,Bellary,Coconut,Local,FAQ,1947,2379,2163,14.8
2024-05-08,Shimoga,Chilli,Local,FAQ,8934,10920,9927,80.4
2024-05-09,Mysore,Onion,Local,FAQ,1141,1395,1268,73.1
2024-05-10,Gulbarga,Brinjal,Local,FAQ,1584,1936,1760,63.9
2024-05-10,Shimoga,Wheat,Local,FAQ,2498,3054,2776,25.4
2024-05-10,Hassan,Onion,Local,FAQ,1384,1692,1538,7.5
2024-05-10,Mysore,Wheat,Local,FAQ,2005,2451,2228,94.3
2024-05-10,Dharwad,Wheat,Local,FAQ,2921,3571,3246,91.0
2024-05-11,Dharwad,Chilli,Local,FAQ,10058,12294,11176,88.5
2024-05-11,Tumkur,Tomato,Local,FAQ,1648,2014,1831,97.0
2024-05-11,Mangalore,Onion,Local,FAQ,958,1170,1064,94.0
2024-05-11,Belgaum,Chilli,Local,FAQ,8562,10464,9513,24.0
2024-05-12,Shimoga,Wheat,Local,FAQ,2830,3460,3145,30.7
2024-05-12,Bellary,Chilli,Local,FAQ,8598,10508,9553,69.1
